smiles,Heiser_inh_index,MERS_inh_index,Touret_inh_index,pert_ID
NC(=O)OCC(O)COc1ccc(Cl)cc1,,50.1,0.078761062,['BRD-A39230911']
CC(N)C(O)c1cccc(O)c1,-0.08479432099999999,54.0875,0.018528761,['BRD-K96253961']
NC(=O)c1cccc(N)c1,,57.40833333,,['BRD-K08703257']
CCCCCCCCC=CCCCCCCCC(=O)NC(CO)Cc1ccc(O)cc1,,94.625,,['BRD-A39522003']
N=C(N)N/N=C/c1c(Cl)cccc1Cl,-0.016718593,56.33125,0.7415158270000001,['BRD-K62736196']
CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,0.150590884,55.325,-0.038069035,['BRD-A05186015']
N=C(N)NC(=O)Cc1c(Cl)cccc1Cl,0.116653125,56.21875,0.155417212,['BRD-K32830106']
CCCCCCCCC=CCCCCCCCC(=O)NCc1ccc(O)c(OC)c1,,92.8,,['BRD-K86958018']
CCCCCCCCCCC(C)(C)C(=O)Nc1c(OC)cc(OC)cc1OC,,76.4375,,['BRD-K88544581']
N=C(N)NCc1cccc(I)c1,-0.003502012,,0.349522037,['BRD-K43860855']
CC(O)C(=O)Nc1c(I)c(C(=O)NC(CO)CO)c(I)c(C(=O)NC(CO)CO)c1I,0.162249062,48.85,0.072382103,['BRD-K75868704']
NC(C(=O)O)C(OCc1ccccc1)C(=O)O,,52.3,,['BRD-A05874290']
NCC(CS(=O)(=O)O)c1ccc(Cl)cc1,,51.85,,['BRD-A24122750']
NCC(O)(CS(=O)(=O)O)c1ccc(Cl)cc1,,47.475,,['BRD-A27924917']
CCCCCCCCCCCCCCCCCCc1ccc(C(=O)C=CC(=O)O)cc1,,54.025,,['BRD-K48029790']
NCC(O)c1cc(O)c(O)cc1F,,58.625,,['BRD-A42187224']
CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,,84.775,,['BRD-K88625236']
CCCCCCCCNC(C)C(O)c1ccc(SC(C)C)cc1,,50.75,-0.09903899,"['BRD-A34205397', 'BRD-K42635745']"
NC(=O)OCC(COC(N)=O)c1ccccc1,0.066649006,52.43333333,0.18520381,['BRD-K99107520']
NC(=O)OCCCc1ccccc1,0.169135525,51.55,0.187570254,['BRD-K22009844']
CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1,,59.1,0.016463117,['BRD-M56587789']
CCCCCCC[N+](CC)(CC)CCCCc1ccc(Cl)cc1,,51.575,-0.093996998,['BRD-K02680176']
NCC(O)c1ccc(O)c(O)c1,,55.775,,"['BRD-A91555231', 'BRD-K39981244']"
NC(CO)C(=O)NNCc1ccc(O)c(O)c1O,0.110639826,53.54166667,0.274755472,['BRD-A61194565']
CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)c1ccc(Cl)c(Cl)c1,,63.35,0.512287548,['BRD-A29854054']
NCCc1cc(O)c(O)cc1O,,52.8,,['BRD-K41809988']
NCCc1ccc(O)c(O)c1,,55.0375,1.055653417,['BRD-K43887077']
NCCc1ccc(OS(=O)(=O)O)cc1,,54.95,,['BRD-K49808142']
NC(Cc1ccc(N(CCCl)CCCl)cc1)C(=O)O,0.130040654,46.06666667,,['BRD-A08200164']
NC(Cc1ccc(O)c(O)c1)C(=O)O,0.161129318,53.7,-0.008759238,['BRD-K34730807']
CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,,51.86666667,-0.011117257,['BRD-K85119730']
CCCCNc1ccc(C(=O)OCCN(C)C)cc1,,54.85,0.474927762,['BRD-K45071273']
CCCCOC(=O)c1ccc(O)cc1,,56.6875,0.428718418,['BRD-K08287586']
CCCCOc1ccc(CC(=O)NO)cc1,,55.6,0.036318159,['BRD-K36660044']
NP(N)(=O)NC(=O)c1ccc(F)cc1,,54.925,,['BRD-K67445247']
NCC(CC(=O)O)c1ccc(Cl)cc1,0.321704068,53.9875,-0.006323495,['BRD-A84174873']
NS(=O)(=O)C#Cc1ccccc1,,51.025,,['BRD-K96799727']
Nc1cc(C(Cl)=C(Cl)Cl)c(S(N)(=O)=O)cc1S(N)(=O)=O,,50.3625,0.153853312,['BRD-K97521363']
CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,,54.24166667,0.099115044,['BRD-A44863528']
CCCN(CCC)CCc1ccc(O)c(O)c1,,56.9,,['BRD-K82577285']
NCc1ccc(S(N)(=O)=O)cc1,0.19401681,54.1125,0.015265487,['BRD-K30649484']
CCCN(CCC)S(=O)(=O)c1ccc(C(=O)O)cc1,,52.9125,0.209280095,['BRD-K95237249']
NNCCc1ccccc1,0.041527533,52.28333333,0.040320796,['BRD-K87024524']
CCCNC(C)(C)COC(=O)c1ccccc1,,53.7,1.2298819840000002,['BRD-K65417056']
CCCNC(C)C(=O)Nc1ccccc1C,,54.45833333,0.005641593,['BRD-A53952395']
Nc1ccccc1S(N)(=O)=O,,55.5,0.646035799,['BRD-K32681104']
CCCOc1ccc(C(=O)OCCN(CC)CC)cc1N,,51.65,0.14480924,['BRD-K79116891']
NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1,0.161272639,54.275,0.249899831,['BRD-K71499074']
Nc1ccc(C(=O)NCC(=O)O)cc1,0.0891325,,0.247313177,['BRD-K65544384']
Nc1ccc(C(=O)O)c(O)c1,0.170087811,55.5875,0.472662733,['BRD-K80267133']
Nc1ccc(O)c(C(=O)O)c1,0.196364814,51.5375,0.377235847,['BRD-K28849549']
CCN(CC)C(=O)c1ccc(O)c(OC)c1,,52.75,0.083554691,['BRD-K38055836']
CCN(CC)C(C)C(=O)c1ccccc1,,57.25,0.176532406,['BRD-A37288617']
CCN(CC)CCNC(=O)COc1ccc(OC)cc1,,55.4625,0.087057522,['BRD-K20655524']
CCN(CC)CCNC(=O)c1ccc(N)cc1,,57.0,0.255674845,['BRD-K75089421']
CCN(CC)CCOC(=O)c1cc(Cl)c(N)cc1OC,,61.525,,['BRD-K15868788']
CCN(CC)CCOC(=O)c1ccc(N)cc1,,51.60833333,-0.017487193999999998,['BRD-K24616672']
O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,,51.325,-0.0006413009999999999,"['BRD-A51182606', 'BRD-K08111712']"
O=C(CCCCCCC(=O)Nc1ccccc1)NO,-0.060590895,47.0625,-0.424349991,['BRD-K81418486']
CCNC(C)Cc1cccc(C(F)(F)F)c1,,49.775,0.057057124,['BRD-K58626373']
CCOC(=O)C(C)(N)Cc1ccc(O)c(O)c1,,51.225,0.377831037,['BRD-K82259334']
O=C(NCC(O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(N(CCO)C(=O)CO)c1I,0.061946193,53.125,0.11370878,['BRD-A65818372']
CCOC(=O)C=C(C)C=CC=C(C)C=Cc1c(C)cc(OC)c(C)c1C,,50.6,0.5097799510000001,['BRD-K36248164']
O=C(O)/C=C/c1ccc(O)c(O)c1,,55.96666667,,['BRD-K09900591']
CCCCCCc1ccc(O)cc1O,0.23366349100000006,62.375,,['BRD-K99946902']
CCCCN(CCCC)CCCOC(=O)c1ccc(N)cc1,0.053993101,55.2625,0.383686838,['BRD-K99622919']
CCOC(=O)c1ccc(N)cc1,,52.3125,0.052013399,['BRD-K75466013']
